Qty,Reference(s),Value,Manufacturer part#,Vendor,Vendor 2nd part#,Vendor part#,Description 2nd part,MPN,Manufacturer 2nd part#
1,R65,1M,RNF14FTD1M00,digikey,,RNF14FTD1M00CT-ND,,,
1,R66,7.5K,RNF14FTD7K50,digikey,,RNF14FTD7K50CT-ND,,,
1,R70,470,CF14JT470R,digikey,,CF14JT470RCT-ND,,,
1,RF1,CoCo3RFModulator,,,,,,,
1,RY1,J0971CS5VDC.45,J0971CS5VDC.45,digikey,,2449-J0971CS5VDC.45-ND,,,
1,SW1,SW_DPDT_x2,F2UEE,digikey,,401-1223-ND,,,
1,SW2,Reset Switch,B3F-3152,digikey,SW451-ND,SW410-ND,,,B32-1010
1,SW3,SW3,EG1213,digikey,,EG1906-ND,,,
1,TC1,10pF-50pF,GKG60015,digikey,,2447-GKG60015-ND,,,
1,TP1,5V,,,,,,,
1,TP2,ECLK,,,,,,,
1,TP3,QCLK,,,,,,,
1,TP4,~{RAS},,,,,,,
1,TP5,~{CAS},,,,,,,
1,TP6,CVIDEO,,,,,,,
1,TP7,VIDEO,,,,,,,
1,TP8,RED OUT,,,,,,,
1,X1,28.63636 MHz,ECS-286.3-20-46X,digikey,,XC1766-ND,,,
